"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"BU03631000","May2021","Environment",0
"BU03631000","May2021","Inappropriateness",1
"BU03631000","May2021","Other",2
"BU03631000","May2021","Robbery/Theft",7
"BU03631000","May2021","Smuggling",0
"BU03631000","May2021","Total",12
"BU03631000","May2021","Violence",2
"BU03631000","Mrt2021","Environment",0
"BU03631000","Mrt2021","Inappropriateness",1
"BU03631000","Mrt2021","Other",0
"BU03631000","Mrt2021","Robbery/Theft",15
"BU03631000","Mrt2021","Smuggling",0
"BU03631000","Mrt2021","Total",20
"BU03631000","Mrt2021","Violence",4
"BU03631000","Nov2021","Environment",0
"BU03631000","Nov2021","Inappropriateness",1
"BU03631000","Nov2021","Other",0
"BU03631000","Nov2021","Robbery/Theft",16
"BU03631000","Nov2021","Smuggling",0
"BU03631000","Nov2021","Total",20
"BU03631000","Nov2021","Violence",3
"BU03631000","Oct2021","Environment",0
"BU03631000","Oct2021","Inappropriateness",0
"BU03631000","Oct2021","Other",1
"BU03631000","Oct2021","Robbery/Theft",26
"BU03631000","Oct2021","Smuggling",2
"BU03631000","Oct2021","Total",33
"BU03631000","Oct2021","Violence",3
"BU03631000","Sept2021","Environment",0
"BU03631000","Sept2021","Inappropriateness",1
"BU03631000","Sept2021","Other",3
"BU03631000","Sept2021","Robbery/Theft",11
"BU03631000","Sept2021","Smuggling",0
"BU03631000","Sept2021","Total",17
"BU03631000","Sept2021","Violence",2
"BU03631001","Apr2021","Environment",0
"BU03631001","Apr2021","Inappropriateness",1
"BU03631001","Apr2021","Other",0
"BU03631001","Apr2021","Robbery/Theft",0
"BU03631001","Apr2021","Smuggling",1
"BU03631001","Apr2021","Total",2
"BU03631001","Apr2021","Violence",0
"BU03631001","Aug2021","Environment",0
"BU03631001","Aug2021","Inappropriateness",0
"BU03631001","Aug2021","Other",0
"BU03631001","Aug2021","Robbery/Theft",1
"BU03631001","Aug2021","Smuggling",0
"BU03631001","Aug2021","Total",3
"BU03631001","Aug2021","Violence",2
"BU03631001","Dec2021","Environment",0
"BU03631001","Dec2021","Inappropriateness",0
"BU03631001","Dec2021","Other",1
"BU03631001","Dec2021","Robbery/Theft",3
"BU03631001","Dec2021","Smuggling",0
"BU03631001","Dec2021","Total",4
"BU03631001","Dec2021","Violence",0
"BU03631001","Feb2021","Environment",0
"BU03631001","Feb2021","Inappropriateness",0
"BU03631001","Feb2021","Other",0
"BU03631001","Feb2021","Robbery/Theft",0
"BU03631001","Feb2021","Smuggling",0
