"Neighborhoods","Listing_sum","Average_price","Percentage_home_apt","Percentage_hotel_room","Percentage_private_room","Percentage_shared_room","Periods","CrimeType_Category","total_crime_sum"
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Environment",1
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Inappropriateness",6
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Other",25
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Robbery/Theft",61
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Smuggling",4
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Total",167
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"May2021","Violence",63
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Environment",0
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Inappropriateness",10
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Other",24
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Robbery/Theft",90
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Smuggling",9
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Total",181
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Mrt2021","Violence",40
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Environment",2
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Inappropriateness",9
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Other",24
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Robbery/Theft",119
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Smuggling",2
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Total",224
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Nov2021","Violence",61
